station_name,latitude,longitude,community,pagerank
Mäntyviita,60.17870200000001,24.810973999999998,inf_3,0.0015699024313222036
Laivasillankatu,60.1609890692806,24.9565097715858,inf_0,0.002440731200338256
Isoisänsilta,60.18265181233391,24.9817926053222,inf_9,0.003972396400009951
Laajasalon ostoskeskus,60.1800091502319,25.051912012137404,inf_5,0.0023095592728992124
Juhana Herttuan tie,60.2185249019981,24.9664522586218,inf_9,0.00252278083453388
Voikukantie,60.2090159546746,25.0867813029403,inf_5,0.00411454675373133
Siltamäki,60.2744670938261,24.9893966166804,inf_9,0.0010674211785739736
Laivalahden puistotie,60.1879616899796,25.0313242435422,inf_5,0.002257018888643481
Puotinharju,60.21255602595951,25.0824161004374,inf_5,0.0029951170029540904
Varustuksentie,60.23913100736661,25.066857255802297,inf_5,0.000817095636033419
Pohjolanaukio,60.2171787502601,24.954359778594096,inf_9,0.0018541282106335699
Huovitie,60.22197552725459,24.9032866466572,inf_1,0.001172569712885682
Kanavaranta,60.168495904035105,24.9584922784237,inf_0,0.006016385270315502
Ratsutori,60.217311,24.812419,inf_8,0.004031705060505316
Niittymaa,60.171127,24.775913,inf_3,0.0038171603594578797
Louhentori,60.18715,24.796959,inf_3,0.0017238861000872672
Komentajankatu,60.216222,24.821931999999997,inf_8,0.0017220793637242964
Katariina Saksilaisen katu,60.2172068185826,24.9844208812225,inf_9,0.0016222180776854413
Seurasaari,60.188434542322206,24.884764321470602,inf_1,0.0027754328727269384
Tenholantie,60.202377405156,24.905436795703295,inf_1,0.002425548170177855
Eteläesplanadi,60.1671998456303,24.9471504600595,inf_0,0.003722756323109579
Käpylän asema,60.2208033078251,24.9479499152249,inf_9,0.00224012102432322
Betonimies,60.18002700000001,24.831804000000005,inf_3,0.0007427507250194355
Tuulimäki,60.174144,24.806051,inf_3,0.000786279734635627
Ruomelantie,60.174524,24.729314,inf_3,0.0013331805835968766
Bermudankuja,60.1549042600429,24.9101421129463,inf_7,0.000593164631545571
Sallatunturintie,60.2367409143469,25.118300016596,inf_5,0.0005818248073655174
Kalasatama (M),60.18753084272681,24.977153892421,inf_9,0.00800903858639393
Kivikonkaari,60.2399042915928,25.0746433427518,inf_5,0.0006877631719433947
Vilhonvuorenkatu,60.1864553029206,24.967854123638,inf_9,0.005284479954171384
Olarinluoma,60.18084799999999,24.760606,inf_3,0.0013515416997385127
Humalniementie,60.1837062881609,25.053060355575095,inf_5,0.0011068099929532477
Haagan tori,60.21211158071551,24.898930057033,inf_1,0.0015788498327226317
Ulvilantie,60.2038687140902,24.8708784784714,inf_1,0.0016574241663495739
Brahen kenttä,60.1867902883311,24.9508131529517,inf_6,0.004239139213505406
Koivusaari (M),60.1633863116225,24.855164268683396,inf_4,0.0005713417983619832
Avaruuskatu,60.168971,24.724908,inf_3,0.0011439527705639054
Maunula,60.2303828796011,24.9325030021006,inf_9,0.0012618306852480196
Jalavatie,60.1934470268502,24.9057885671904,inf_1,0.0020232117965956475
Kesäkatu,60.1792966924742,24.91325039954,inf_1,0.0025714720330587103
Intiankatu,60.207840227695,24.9676246411057,inf_9,0.0036857869090406513
Koivu-Mankkaa,60.182976,24.78576,inf_3,0.0011356695183031428
Kalevalantie,60.184765,24.804022,inf_3,0.001698392143808041
A.I. Virtasen aukio,60.2055418168461,24.962078850810403,inf_9,0.001216579253868246
Kalkkipellonmäki,60.220551,24.833535999999995,inf_8,0.0012124696552303243
Koukkusaarentie,60.213980722047,25.1342325127583,inf_5,0.0015801604901316572
Pirkkolan liikuntapuisto,60.232734803775,24.9097508532821,inf_1,0.0005730129603075784
Hakaniemi (M),60.1780816347447,24.9522579797678,inf_0,0.005404166205011241
Kauppakeskus Columbus,60.2063719022092,25.1455043565057,inf_5,0.0028876804532036856
Lauttasaaren ostoskeskus,60.16041534595259,24.8828103623042,inf_4,0.003986641628607945
Siilitie 9,60.209453145538006,25.0375268074421,inf_5,0.001579628785428127
Matinkyläntie,60.155689,24.744978,inf_3,0.0020578998030185256
Tietäjä,60.189143,24.807083,inf_3,0.0009997656247495818
Opastinsilta,60.19926576523571,24.938152577331298,inf_6,0.0012624652137131283
Prinsessantie,60.2062943134753,25.059863346683,inf_5,0.0012139543416878904
Haukilahdenranta,60.158048,24.769864,inf_3,0.0016857560584696213
Gebhardinaukio,60.191180470925495,24.9550767908172,inf_6,0.0023115720779234785
Muurarinkuja,60.223769,24.812270999999996,inf_8,0.0018278937037469337
Paloheinän maja,60.2552356088463,24.9183008944604,inf_1,0.0008267910365160575
Ajomiehentie,60.2388821009165,24.8512905063639,inf_1,0.0011932986869326399
Westendintie,60.15819400000001,24.791754,inf_3,0.0012583470400701936
Laajalahden aukio,60.1978706012264,24.8763012644261,inf_1,0.004823690054656351
Puistolan asema,60.2751896029642,25.034350121240504,inf_9,0.0029263868111081086
Hankasuontie,60.2447437736882,24.8475860266275,inf_1,0.000878426001744842
Lallukankuja,60.2235265780465,25.082971174463996,inf_5,0.0006645890931129847
Mäkelänkatu,60.18963599076061,24.9633904702172,inf_9,0.0021643874643853065
Leikosaarentie,60.20468129587189,25.1515462608624,inf_5,0.0009800630773800605
Puistolantori,60.27436992716579,25.0458546004102,inf_9,0.0007170897272548481
Kontulankaari,60.2438416352054,25.076226580763,inf_5,0.001059742681916793
